epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.346,2.18934,7.02592,1.06455,0.30903,0.63597,0.44683,0.3664,0.29727,1.14769,1.72547,0.84189,0.00332787,0.00332787,0.00332787
2,764.692,2.02631,4.2107,1.05553,0.47619,0.80231,0.69513,0.5997,0.48265,1.00925,1.43178,0.84671,0.00659526,0.00659526,0.00659526
3,1093.49,2.04306,2.73633,1.0626,0.74284,0.72765,0.84186,0.71779,0.5833,1.05066,1.2361,0.84262,0.00979664,0.00979664,0.00979664
4,1422.95,1.95964,2.10908,1.04831,0.79087,0.79348,0.88674,0.79644,0.62989,1.01953,1.01071,0.83215,0.009703,0.009703,0.009703
5,1754.38,1.8792,1.87648,1.03342,0.75889,0.78022,0.81407,0.72128,0.58877,0.97193,1.02266,0.83343,0.009604,0.009604,0.009604
6,2071.97,1.82369,1.76897,1.0156,0.85937,0.88003,0.94977,0.88003,0.7125,0.90164,0.75333,0.82582,0.009505,0.009505,0.009505
7,2410.96,1.80939,1.71484,1.01457,0.86156,0.9261,0.96424,0.85864,0.72464,0.94206,0.73487,0.83102,0.009406,0.009406,0.009406
8,2751.19,1.77439,1.66065,1.0066,0.91202,0.93242,0.96993,0.918,0.75545,0.83125,0.59717,0.81119,0.009307,0.009307,0.009307
9,3113.25,1.74918,1.63102,0.99545,0.91587,0.91258,0.96676,0.90892,0.77162,0.79257,0.6527,0.81635,0.009208,0.009208,0.009208
10,3440.43,1.71993,1.60273,0.98758,0.94268,0.92311,0.9716,0.90863,0.75694,0.83085,0.58162,0.81063,0.009109,0.009109,0.009109
11,3758.7,1.71013,1.56269,0.98583,0.93527,0.9511,0.97947,0.92107,0.76785,0.81863,0.55252,0.8176,0.00901,0.00901,0.00901
12,4080.19,1.70379,1.55235,0.97811,0.93379,0.93746,0.97658,0.90016,0.74321,0.89601,0.58734,0.81747,0.008911,0.008911,0.008911
13,4400.31,1.69614,1.54832,0.97636,0.93396,0.93941,0.97639,0.92139,0.76426,0.82573,0.55041,0.81214,0.008812,0.008812,0.008812
14,4720.62,1.66638,1.51281,0.97313,0.94993,0.96109,0.9834,0.92657,0.79348,0.76173,0.52854,0.8072,0.008713,0.008713,0.008713
15,5061.62,1.63649,1.47035,0.9624,0.94717,0.9494,0.97874,0.92231,0.79635,0.71658,0.53319,0.80848,0.008614,0.008614,0.008614
16,5388.91,1.63005,1.45898,0.95991,0.96255,0.9559,0.9836,0.94641,0.79413,0.74434,0.51809,0.80495,0.008515,0.008515,0.008515
17,5707.91,1.61498,1.45616,0.95624,0.97349,0.94744,0.98878,0.94675,0.81978,0.72152,0.49714,0.80425,0.008416,0.008416,0.008416
18,6051.56,1.62229,1.44924,0.95667,0.94957,0.95455,0.98326,0.92999,0.7895,0.79343,0.54751,0.80953,0.008317,0.008317,0.008317
19,6381.02,1.6198,1.4438,0.9568,0.96517,0.9699,0.98895,0.94113,0.80513,0.74396,0.49656,0.80748,0.008218,0.008218,0.008218
20,6698.78,1.59381,1.40348,0.95376,0.96174,0.95851,0.98495,0.93529,0.80124,0.73576,0.49184,0.80534,0.008119,0.008119,0.008119
21,7019.28,1.58485,1.38994,0.9464,0.96516,0.97474,0.98993,0.9545,0.82675,0.69604,0.47283,0.8038,0.00802,0.00802,0.00802
22,7339.21,1.56062,1.3707,0.94541,0.95856,0.96969,0.98783,0.95506,0.82281,0.69266,0.48064,0.80505,0.007921,0.007921,0.007921
23,7670.49,1.58933,1.40362,0.94807,0.95961,0.96831,0.98572,0.94688,0.81725,0.70392,0.47541,0.80229,0.007822,0.007822,0.007822
24,7988.77,1.56258,1.37785,0.94404,0.95359,0.95923,0.98784,0.94227,0.8156,0.69668,0.48428,0.80036,0.007723,0.007723,0.007723
25,8317.19,1.54782,1.33722,0.93898,0.9701,0.96805,0.98793,0.95049,0.82282,0.65656,0.45091,0.80059,0.007624,0.007624,0.007624
26,8653.58,1.52872,1.31978,0.93689,0.97132,0.96646,0.98808,0.95562,0.82389,0.67948,0.45357,0.79961,0.007525,0.007525,0.007525
27,8971.96,1.5317,1.32627,0.93751,0.98445,0.9819,0.99147,0.95289,0.8277,0.66598,0.42148,0.79749,0.007426,0.007426,0.007426
28,9290.44,1.50887,1.3139,0.93413,0.96762,0.97107,0.98858,0.95772,0.83433,0.6366,0.4289,0.79699,0.007327,0.007327,0.007327
